MISSING_CANDIDATE	万	ま	4
	T	すす	雪ぐ	すすぐ
MISSING_CANDIDATE	頭	こうべ	4
	T	こうべ	正直の頭に神宿る	しょうじきのこうべにかみやどる
	T	こうべ	頭	こうべ
	T	こうべ	頭をたれる	こうべをたれる
	T	こうべ	頭を垂れる	こうべをたれる
MISSING_CANDIDATE	頭	じゅう	19
	T	じゅう	おしくら饅頭	おしくらまんじゅう
	T	じゅう	せんちで饅頭	せんちでまんじゅう
	T	じゅう	どじょうすくい饅頭	どじょうすくいまんじゅう
	T	じゅう	どじょう掬い饅頭	どじょうすくいまんじゅう
	T	じゅう	のー饅頭	のーまんじゅう
MISSING_CANDIDATE	頭	ど	5
	T	ど	花笠音頭	はながさおんど
	T	ど	音頭	おんど
	T	ど	音頭をとる	おんどをとる
	T	ど	音頭を取る	おんどをとる
	T	ど	音頭取り	おんどとり
MISSING_CANDIDATE	顔	かんばせ	3
	T	かんばせ	何の顔あって	なんのかんばせあって
	T	かんばせ	花の顔	はなのかんばせ
	T	かんばせ	顔	かんばせ
MISSING_CANDIDATE	風	ぷ	3
	T	ぷ	ひとっ風呂	ひとっぷろ
	T	ぷ	一っ風呂	ひとっぷろ
	T	ぷ	気っ風	きっぷ
MISSING_CANDIDATE	食	げ	3
	T	げ	夕食	ゆうげ
	T	げ	昼食	ひるげ
	T	げ	朝食	あさげ
MISSING_CANDIDATE	食	し	13
	T	し	疎食	そし
	T	し	疏食	そし
	T	し	箪食	たんし
	T	し	箪食壷漿	たんしこしょう
	T	し	箪食壺漿	たんしこしょう
MISSING_CANDIDATE	食	しき	4
	T	しき	喝食	かっしき
	T	しき	喝食行者	かっしきあんじゃ
	T	しき	大食調	たいしきちょう
	T	しき	太食調	たいしきちょう
MISSING_CANDIDATE	首	こうべ	3
	T	こうべ	首	こうべ
	T	こうべ	首をたれる	こうべをたれる
	T	こうべ	首を垂れる	こうべをたれる
MISSING_CANDIDATE	馬	め	12
	T	め	主馬	しゅめ
	T	め	四馬	しめ
	T	め	悪馬	あくめ
	T	め	神馬	しんめ
	T	め	神馬	じんめ
MISSING_CANDIDATE	魚	い	3
	T	い	洗魚	あらい
	T	い	糸魚川静岡構造線	いといがわしずおかこうぞうせん
	T	い	魚汁	いしる
MISSING_CANDIDATE	魚	いお	7
	T	いお	乾し魚	ほしいお
	T	いお	干し魚	ほしいお
	T	いお	干魚	ほしいお
	T	いお	魚つり	いおつり
	T	いお	魚串	いおぐし
MISSING_CANDIDATE	魚	な	14
	T	な	アルプス岩魚	あるぷすいわな
	T	な	勇魚	いさな
	T	な	勇魚取	いさなとり
	T	な	勇魚取り	いさなとり
	T	な	北極岩魚	ほっきょくいわな
MISSING_CANDIDATE	魚	なな	3
	T	なな	魚子	ななこ
	T	なな	魚子織	ななこおり
	T	なな	魚子織り	ななこおり
MISSING_CANDIDATE	魚	み	3
	T	み	斑紙魚	まだらしみ
	T	み	紙魚	しみ
	T	み	西洋紙魚	せいようしみ
MISSING_CANDIDATE	魚	よ	4
	T	よ	富魚	とみよ
	T	よ	糸魚	いとよ
	T	よ	針魚	はりよ
	T	よ	魚汁	よしる
MISSING_CANDIDATE	鳥	とっ	9
	T	とっ	公立鳥取環境大学	こうりつとっとりかんきょうだいがく
	T	とっ	鳥取	とっとり
	T	とっ	鳥取大学	とっとりだいがく
	T	とっ	鳥取女子短期大学	とっとりじょしたんきだいがく
	T	とっ	鳥取弁	とっとりべん
MISSING_CANDIDATE	麦	ばっ	4
	T	ばっ	麦価	ばっか
	T	ばっ	麦稈	ばっかん
	T	ばっ	麦角	ばっかく
	T	ばっ	麦角菌	ばっかくきん
MISSING_CANDIDATE	黄	きな	3
	T	きな	青黄粉	あおきなこ
	T	きな	黄粉	きなこ
	T	きな	黄粉餅	きなこもち
MISSING_CANDIDATE	黒	こっ	7
	T	こっ	湿球黒球温度	しっきゅうこっきゅうおんど
	T	こっ	黒化	こっか
	T	こっ	黒化液	こっかえき
	T	こっ	黒海	こっかい
	T	こっ	黒海経済協力機構	こっかいけいざいきょうりょくきこう
