MISSING_CANDIDATE	丘	く	9
	T	たわ	戯け者	たわけもの
	T	たわ	戯言	たわこと
	T	たわ	戯言	たわごと
MISSING_CANDIDATE	戴	だい	4
	T	だい	お涙頂戴	おなみだちょうだい
	T	だい	御涙頂戴	おなみだちょうだい
	T	だい	頂戴	ちょうだい
	T	だい	頂戴物	ちょうだいもの
MISSING_CANDIDATE	戻	もどし	3
	T	もどし	払戻	はらいもどし
	T	もどし	払戻金	はらいもどしきん
	T	もどし	繰戻	くりもどし
MISSING_CANDIDATE	房	ほう	4
	T	ほう	阿房	あほう
	T	ほう	阿房払い	あほうばらい
	T	ほう	阿房鳥	あほうどり
MISSING_CANDIDATE	扱	こき	3
	T	こき	扱下ろす	こきおろす
	T	こき	扱使う	こきつかう
	T	こき	扱混ぜる	こきまぜる
MISSING_CANDIDATE	扱	しご	3
	T	しご	扱き	しごき
	T	しご	扱き帯	しごきおび
	T	しご	扱く	しごく
MISSING_CANDIDATE	抄	す	3
	T	す	抄き	すき
	T	す	抄き返す	すきかえす
	T	す	抄く	すく
MISSING_CANDIDATE	抱	ぼう	3
	T	ぼう	懐抱	かいぼう
	T	ぼう	辛抱	しんぼう
	T	ぼう	辛抱強い	しんぼうづよい
MISSING_CANDIDATE	押	おさえ	4
	T	おさえ	仮差押	かりさしおさえ
	T	おさえ	差押	さしおさえ
	T	おさえ	差押命令	さしおさえめいれい
	T	おさえ	捜索差押許可状	そうさくさしおさえきょかじょう
MISSING_CANDIDATE	拘	かかわ	4
	T	かかわ	それにも拘らず	それにもかかわらず
	T	かかわ	にも拘らず	にもかかわらず
	T	かかわ	拘らず	かかわらず
	T	かかわ	拘る	かかわる
MISSING_CANDIDATE	拘	こだわ	3
	T	こだわ	拘り	こだわり
	T	こだわ	拘り抜く	こだわりぬく
	T	こだわ	拘る	こだわる
MISSING_CANDIDATE	括	がっ	3
	T	がっ	丸括弧	まるがっこ
	T	がっ	山括弧	やまがっこ
	T	がっ	角括弧	かくがっこ
MISSING_CANDIDATE	括	くくり	3
	T	くくり	括枕	くくりまくら
	T	くくり	括頭巾	くくりずきん
	T	くくり	赤括	あかくくり
MISSING_CANDIDATE	括	くび	3
	T	くび	括れ	くびれ
	T	くび	括れる	くびれる
	T	くび	腰の括れ	こしのくびれ
MISSING_CANDIDATE	拭	ふき	3
	T	ふき	手拭	てふき
	T	ふき	拭掃除	ふきそうじ
	T	ふき	汗拭	あせふき
MISSING_CANDIDATE	拭	ぶ	4
	T	ぶ	から拭き	からぶき
	T	ぶ	拭き	ぶき
	T	ぶ	水拭き	みずぶき
	T	ぶ	清拭き	きよぶき
MISSING_CANDIDATE	振	ぶる	10
	T	ぶる	大尽振舞	だいじんぶるまい
	T	ぶる	大盤振舞	おおばんぶるまい
	T	ぶる	大盤振舞い	おおばんぶるまい
	T	ぶる	立ち振舞	たちぶるまい
	T	ぶる	立ち振舞い	たちぶるまい
MISSING_CANDIDATE	挿	す	3
	T	す	挿げかえる	すげかえる
	T	す	挿げる	すげる
	T	す	挿げ替える	すげかえる
MISSING_CANDIDATE	捉	つか	3
	T	つか	捉まえる	つかまえる
	T	つか	捉まる	つかまる
	T	つか	捉む	つかむ
MISSING_CANDIDATE	捗	はか	3
	T	はか	捗	はか
	T	はか	捗が行く	はかがいく
	T	はか	捗が行く	はかがゆく
MISSING_CANDIDATE	掃	はき	5
	T	はき	掃出し	はきだし
	T	はき	掃出す	はきだす
	T	はき	掃捨てる	はきすてる
	T	はき	掃溜め	はきだめ
	T	はき	掃立て	はきたて
MISSING_CANDIDATE	掘	ほっ	6
	T	ほっ	掘建て	ほったて
	T	ほっ	掘建て小屋	ほったてごや
	T	ほっ	掘立て	ほったて
	T	ほっ	掘立小屋	ほったてごや
	T	ほっ	掘立柱	ほったてばしら
MISSING_CANDIDATE	掘	ぼり	4
	T	ぼり	坑内掘炭鉱	こうないぼりたんこう
	T	ぼり	深掘	ふかぼり
	T	ぼり	露天掘	ろてんぼり
	T	ぼり	露天掘炭鉱	ろてんぼりたんこう
MISSING_CANDIDATE	掛	かか	48
	T	かか	もたれ掛る	もたれかかる
	T	かか	乗っ掛る	のっかかる
	T	かか	乗り掛る	のりかかる
	T	かか	伸し掛る	のしかかる
	T	かか	倒れ掛る	たおれかかる
MISSING_CANDIDATE	掛	がい	3
	T	がい	三掛	さんがい
	T	がい	胸掛	むながい
	T	がい	面掛	おもがい
MISSING_CANDIDATE	掛	がか	19
	T	がか	下掛る	しもがかる
	T	がか	声掛り	こえがかり
	T	がか	大掛り	おおがかり
	T	がか	手掛り	てがかり
	T	がか	掛り	がかり
MISSING_CANDIDATE	描	かき	3
	T	かき	描下ろし	かきおろし
	T	かき	描写す	かきうつす
	T	かき	絵描	えかき
MISSING_CANDIDATE	描	がき	3
	T	がき	手描	てがき
	T	がき	素描	すがき
	T	がき	罫描	けがき
MISSING_CANDIDATE	揚	あが	3
	T	あが	揚り座敷	あがりざしき
	T	あが	揚る	あがる
	T	あが	身揚り	みあがり
MISSING_CANDIDATE	換	かえ	22
	T	かえ	乗換	のりかえ
	T	かえ	乗換券	のりかえけん
	T	かえ	乗換案内	のりかえあんない
	T	かえ	乗換駅	のりかええき
	T	かえ	代金引換	だいきんひきかえ
MISSING_CANDIDATE	換	が	4
	T	が	巣換え	すがえ
	T	が	着換え	きがえ
	T	が	着換える	きがえる
	T	が	襟換え	えりがえ
MISSING_CANDIDATE	揺	ゆる	3
	T	ゆる	小揺ぎ	こゆるぎ
	T	ゆる	揺がす	ゆるがす
	T	ゆる	揺ぎ無い	ゆるぎない
MISSING_CANDIDATE	搾	し	4
	T	し	搾めかす	しめかす
	T	し	搾め木	しめぎ
	T	し	搾め滓	しめかす
	T	し	油搾め木	あぶらしめぎ
MISSING_CANDIDATE	搾	しめ	3
	T	しめ	搾木	しめぎ
	T	しめ	搾滓	しめかす
	T	しめ	油搾木	あぶらしめぎ
MISSING_CANDIDATE	摘	つま	21
	T	つま	お摘み	おつまみ
	T	つま	かい摘む	かいつまむ
	T	つま	キツネに摘まれる	きつねにつままれる
	T	つま	御摘み	おつまみ
	T	つま	掻い摘む	かいつまむ
MISSING_CANDIDATE	摩	ず	4
	T	ず	手摩れる	てずれる
	T	ず	砂摩り	すなずり
	T	ず	行き摩り	いきずり
	T	ず	行き摩り	ゆきずり
MISSING_CANDIDATE	撮	とり	4
	T	とり	ヌイ撮	ぬいとり
	T	とり	撮下ろし	とりおろし
	T	とり	撮方	とりかた
	T	とり	縫撮	ぬいとり
MISSING_CANDIDATE	擦	かす	5
	T	かす	擦り	かすり
	T	かす	擦り傷	かすりきず
	T	かす	擦る	かする
	T	かす	擦れる	かすれる
	T	かす	擦れ傷	かすれきず
MISSING_CANDIDATE	擦	さっ	6
	T	さっ	擦傷	さっしょう
	T	さっ	擦痕	さっこん
	T	さっ	擦筆	さっぴつ
	T	さっ	擦過	さっか
	T	さっ	擦過傷	さっかしょう
MISSING_CANDIDATE	擦	なす	4
	T	なす	擦りつける	なすりつける
	T	なす	擦り付ける	なすりつける
	T	なす	擦り合い	なすりあい
	T	なす	擦る	なする
MISSING_CANDIDATE	敢	あえ	3
	T	あえ	敢て	あえて
	T	あえ	敢ない	あえない
	T	あえ	敢無く	あえなく
MISSING_CANDIDATE	敢	か	4
	T	か	果敢ない	はかない
	T	か	果敢なむ	はかなむ
	T	か	果敢無い	はかない
	T	か	果敢無む	はかなむ
MISSING_CANDIDATE	斎	いみ	3
	T	いみ	斎	いみ
	T	いみ	斎日	いみび
	T	いみ	斎部	いみべ
MISSING_CANDIDATE	斑	しま	3
	T	しま	グレービー斑馬	ぐれーびーしまうま
	T	しま	山斑馬	やましまうま
	T	しま	斑馬	しまうま
MISSING_CANDIDATE	斑	ぱん	4
	T	ぱん	一斑	いっぱん
	T	ぱん	肝斑	かんぱん
	T	ぱん	血斑	けっぱん
	T	ぱん	褐斑病	かっぱんびょう
MISSING_CANDIDATE	斑	ぶち	8
	T	ぶち	斑	ぶち
	T	ぶち	斑山椒魚	ぶちさんしょううお
	T	ぶち	斑毛	ぶちげ
	T	ぶち	斑馬	ぶちうま
	T	ぶち	水斑	みずぶち
MISSING_CANDIDATE	斑	むら	12
	T	むら	塗り斑	ぬりむら
	T	むら	斑	むら
	T	むら	斑っ気	むらっけ
	T	むら	斑なく	むらなく
	T	むら	斑気	むらき
MISSING_CANDIDATE	斗	し	15
	T	し	湯熨斗	ゆのし
	T	し	火熨斗	ひのし
	T	し	熨斗	のし
	T	し	熨斗あわび	のしあわび
	T	し	熨斗を付ける	のしをつける
MISSING_CANDIDATE	斗	ます	4
	T	ます	斗	ます
	T	ます	斗形	ますがた
	T	ます	斗組	ますぐみ
	T	ます	斗組み	ますぐみ
MISSING_CANDIDATE	斜	ななめ	3
	T	ななめ	斜	ななめ
	T	ななめ	斜に構える	ななめにかまえる
	T	ななめ	斜横足	ななめよこあし
MISSING_CANDIDATE	斥	せっ	3
	T	せっ	斥候	せっこう
	T	せっ	斥候兵	せっこうへい
	T	せっ	斥候隊	せっこうたい
MISSING_CANDIDATE	既	すんで	3
	T	すんで	既に	すんでに
	T	すんで	既の事	すんでのこと
	T	すんで	既の所で	すんでのところで
MISSING_CANDIDATE	旨	じ	3
	T	じ	令旨	りょうじ
	T	じ	宣旨	せんじ
	T	じ	綸旨	りんじ
MISSING_CANDIDATE	昆	こ	7
	T	こ	おぼろ昆布	おぼろこぶ
	T	こ	とろろ昆布	とろろこぶ
	T	こ	昆布	こぶ
	T	こ	昆布巻	こぶまき
	T	こ	昆布巻き	こぶまき
MISSING_CANDIDATE	昧	ま	6
	T	ま	三昧耶	さまや
	T	ま	三昧耶	さんまや
	T	ま	三昧耶形	さまやぎょう
	T	ま	三昧耶形	さんまやぎょう
	T	ま	三昧耶戒	さんまやかい
MISSING_CANDIDATE	普	ぶ	4
	T	ぶ	仮普請	かりぶしん
	T	ぶ	割り普請	わりぶしん
	T	ぶ	安普請	やすぶしん
	T	ぶ	道普請	みちぶしん
MISSING_CANDIDATE	曇	くもり	4
	T	くもり	晴後曇	はれのちくもり
	T	くもり	曇	くもり
	T	くもり	曇勝ち	くもりがち
	T	くもり	曇度	くもりど
MISSING_CANDIDATE	更	ざら	3
	T	ざら	万更	まんざら
	T	ざら	満更	まんざら
	T	ざら	満更でもない	まんざらでもない
MISSING_CANDIDATE	更	ふけ	3
	T	ふけ	更	ふけ
	T	ふけ	更待ち月	ふけまちづき
	T	ふけ	更待月	ふけまちづき
MISSING_CANDIDATE	替	かわ	15
	T	かわ	お替り	おかわり
	T	かわ	すり替る	すりかわる
	T	かわ	入れ替り	いれかわり
	T	かわ	入れ替る	いれかわる
	T	かわ	切り替る	きりかわる
MISSING_CANDIDATE	替	がわ	10
	T	がわ	代替り	だいがわり
	T	がわ	台替り	だいがわり
	T	がわ	御代替り	みよがわり
	T	がわ	日替り	ひがわり
	T	がわ	日替り定食	ひがわりていしょく
MISSING_CANDIDATE	朱	あか	3
	T	あか	朱	あか
	T	あか	朱い	あかい
	T	あか	朱で描く	あかでえがく
MISSING_CANDIDATE	朽	くち	9
	T	くち	朽木	くちき
	T	くち	朽果てる	くちはてる
	T	くち	朽葉	くちば
	T	くち	朽葉色	くちばいろ
	T	くち	蛇にかまれて朽縄におじる	へびにかまれてくちなわにおじる
MISSING_CANDIDATE	杯	ばい	5
	T	ばい	三杯酢	さんばいず
	T	ばい	居候三杯目にはそっと出し	いそうろうさんばいめにはそっとだし
	T	ばい	阿呆の三杯汁	あほうのさんばいじる
	T	ばい	駆けつけ三杯	かけつけさんばい
	T	ばい	駆け付け三杯	かけつけさんばい
MISSING_CANDIDATE	枢	くるる	3
	T	くるる	枢	くるる
	T	くるる	枢戸	くるるど
	T	くるる	枢木	くるるぎ
MISSING_CANDIDATE	架	が	3
	T	が	懸架	けんが
	T	が	架空	がくう
	T	が	架線	がせん
MISSING_CANDIDATE	柳	やぎ	3
	T	やぎ	川柳	かわやぎ
	T	やぎ	花柳	はなやぎ
	T	やぎ	青柳	あおやぎ
MISSING_CANDIDATE	柿	こけら	6
	T	こけら	柿	こけら
	T	こけら	柿板	こけらいた
	T	こけら	柿落し	こけらおとし
	T	こけら	柿落とし	こけらおとし
	T	こけら	柿葺	こけらぶき
MISSING_CANDIDATE	桑	ぐわ	3
	T	ぐわ	八丈桑	はちじょうぐわ
	T	ぐわ	山桑	やまぐわ
	T	ぐわ	針桑	はりぐわ
MISSING_CANDIDATE	桟	さ	4
	T	さ	つんぼ桟敷	つんぼさじき
	T	さ	天井桟敷	てんじょうさじき
	T	さ	桟敷	さじき
	T	さ	聾桟敷	つんぼさじき
MISSING_CANDIDATE	棄	すて	4
	T	すて	棄児	すてご
	T	すて	棄子	すてご
	T	すて	棄石	すていし
	T	すて	棄言葉	すてことば
MISSING_CANDIDATE	椎	しい	6
	T	しい	椎	しい
	T	しい	椎の木	しいのき
	T	しい	椎の灯火茸	しいのともしびたけ
	T	しい	椎茸	しいたけ
	T	しい	椎茸皮膚炎	しいたけひふえん
MISSING_CANDIDATE	椎	じい	3
	T	じい	いた椎	いたじい
	T	じい	すだ椎	すだじい
	T	じい	小椎	こじい
MISSING_CANDIDATE	欺	き	3
	T	き	欺罔	きぼう
	T	き	欺罔	きもう
	T	き	欺騙	きへん
MISSING_CANDIDATE	歳	どし	4
	T	どし	同い歳	おないどし
	T	どし	大歳	おおどし
	T	どし	寅歳	とらどし
	T	どし	寅歳生まれ	とらどしうまれ
MISSING_CANDIDATE	汁	し	7
	T	し	お出汁	おだし
	T	し	出汁	だし
	T	し	出汁巻卵	だしまきたまご
	T	し	御出汁	おだし
	T	し	昆布出汁	こんぶだし
MISSING_CANDIDATE	汁	つけ	3
	T	つけ	お汁	おつけ
	T	つけ	御味御汁	おみおつけ
	T	つけ	御汁	おつけ
MISSING_CANDIDATE	汚	ぎた	3
	T	ぎた	口汚ない	くちぎたない
	T	ぎた	意地汚ない	いじぎたない
	T	ぎた	薄汚ない	うすぎたない
MISSING_CANDIDATE	没	もっ	3
	T	もっ	没す	もっす
	T	もっ	没食子	もっしょくし
	T	もっ	没食子酸	もっしょくしさん
MISSING_CANDIDATE	沸	わか	7
	T	わか	コーヒー沸し	こーひーわかし
	T	わか	沸す	わかす
	T	わか	湯を沸す	ゆをわかす
	T	わか	湯沸し	ゆわかし
	T	わか	湯沸し器	ゆわかしき
MISSING_CANDIDATE	沼	ぬ	3
	T	ぬ	沼田場	ぬたば
	T	ぬ	沼田鰻	ぬたうなぎ
	T	ぬ	沼縄	ぬなわ
MISSING_CANDIDATE	泊	とま	12
	T	とま	お泊り会	おとまりかい
	T	とま	お泊り保育	おとまりほいく
	T	とま	寝泊り	ねとまり
	T	とま	御泊り	おとまり
	T	とま	泊り	とまり
MISSING_CANDIDATE	泊	ど	4
	T	ど	夜泊まり	よどまり
	T	ど	安泊まり	やすどまり
	T	ど	片泊まり	かたどまり
	T	ど	素泊まり	すどまり
MISSING_CANDIDATE	泊	どま	3
	T	どま	夜泊り	よどまり
	T	どま	安泊り	やすどまり
	T	どま	素泊り	すどまり
MISSING_CANDIDATE	泡	ぽう	12
	T	ぽう	微発泡	びはっぽう
	T	ぽう	抗発泡剤	こうはっぽうざい
	T	ぽう	汗泡	かんぽう
	T	ぽう	発泡	はっぽう
	T	ぽう	発泡ゴム	はっぽうごむ
MISSING_CANDIDATE	洞	とう	4
	T	とう	曹洞宗	そうとうしゅう
	T	とう	曹洞禅	そうとうぜん
	T	とう	洞爺湖サミット	とうやこさみっと
	T	とう	洞道	とうどう
MISSING_CANDIDATE	浪	なみ	19
	T	なみ	卯浪	うなみ
	T	なみ	女浪	めなみ
	T	なみ	戸浪	となみ
	T	なみ	沖浪	おきなみ
	T	なみ	津浪	つなみ
MISSING_CANDIDATE	浪	ろ	6
	T	ろ	大正浪漫	たいしょうろまん
	T	ろ	浪曼	ろまん
	T	ろ	浪漫	ろまん
	T	ろ	浪漫主義	ろまんしゅぎ
	T	ろ	浪漫派	ろまんは
MISSING_CANDIDATE	浮	うか	13
	T	うか	思い浮べる	おもいうかべる
	T	うか	浮ばれる	うかばれる
	T	うか	浮びあがる	うかびあがる
	T	うか	浮び上がる	うかびあがる
	T	うか	浮び上る	うかびあがる
MISSING_CANDIDATE	浮	うわ	11
	T	うわ	浮つく	うわつく
	T	うわ	浮付く	うわつく
	T	うわ	浮気	うわき
	T	うわ	浮気女	うわきおんな
	T	うわ	浮気心	うわきごころ
MISSING_CANDIDATE	浸	し	4
	T	し	浸みこむ	しみこむ
	T	し	浸みる	しみる
	T	し	浸み込む	しみこむ
	T	し	骨身に浸みる	ほねみにしみる
MISSING_CANDIDATE	淡	うす	4
	T	うす	淡口	うすくち
	T	うす	淡口しょうゆ	うすくちしょうゆ
	T	うす	淡口醤油	うすくちしょうゆ
	T	うす	淡青	うすあお
MISSING_CANDIDATE	添	ぞえ	5
	T	ぞえ	介添	かいぞえ
	T	ぞえ	介添人	かいぞえにん
	T	ぞえ	口添	くちぞえ
	T	ぞえ	沖縄県立浦添看護学校	おきなわけんりつうらぞえかんごがっこう
	T	ぞえ	花嫁介添人	はなよめかいぞえにん
MISSING_CANDIDATE	渡	わたし	15
	T	わたし	先渡	さきわたし
	T	わたし	前渡金	まえわたしきん
	T	わたし	受渡	うけわたし
	T	わたし	受渡日	うけわたしび
	T	わたし	売渡契約書	うりわたしけいやくしょ
MISSING_CANDIDATE	湿	し	3
	T	し	湿気っぽい	しけっぽい
	T	し	湿気る	しける
MISSING_CANDIDATE	溝	どぶ	14
	T	どぶ	大溝	おおどぶ
	T	どぶ	溝	どぶ
	T	どぶ	溝さらい	どぶさらい
	T	どぶ	溝に捨てる	どぶにすてる
	T	どぶ	溝川	どぶがわ
MISSING_CANDIDATE	滅	ほろぼ	3
	T	ほろぼ	大義親を滅す	たいぎおやをほろぼす
	T	ほろぼ	滅す	ほろぼす
	T	ほろぼ	罪滅し	つみほろぼし
MISSING_CANDIDATE	滅	め	6
	T	め	気が滅入る	きがめいる
	T	め	滅入る	めいる
	T	め	滅茶	めちゃ
	T	め	滅茶苦茶	めちゃくちゃ
	T	め	破茶滅茶	はちゃめちゃ
MISSING_CANDIDATE	滑	ぬめ	3
	T	ぬめ	滑り	ぬめり
	T	ぬめ	滑る	ぬめる
	T	ぬめ	滑革	ぬめかわ
MISSING_CANDIDATE	漆	しっ	6
	T	しっ	漆喰	しっくい
	T	しっ	漆器	しっき
	T	しっ	漆工	しっこう
	T	しっ	漆書	しっしょ
	T	しっ	漆食	しっくい
MISSING_CANDIDATE	漬	ず	3
	T	ず	水漬く	みずく
	T	ず	水漬くかばね	みずくかばね
	T	ず	汗水漬く	あせみずく
MISSING_CANDIDATE	潜	むぐ	3
	T	むぐ	地潜り	じむぐり
	T	むぐ	潜る	むぐる
	T	むぐ	花潜り	はなむぐり
MISSING_CANDIDATE	濃	こい	4
	T	こい	濃口	こいくち
	T	こい	濃口しょうゆ	こいくちしょうゆ
	T	こい	濃口醤油	こいくちしょうゆ
	T	こい	濃茶	こいちゃ
MISSING_CANDIDATE	濃	こく	3
	T	こく	濃がある	こくがある
	T	こく	濃のある	こくのある
	T	こく	鯉濃	こいこく
MISSING_CANDIDATE	濃	の	4
	T	の	美津濃	みづの
	T	の	美濃	みの
	T	の	美濃判	みのばん
	T	の	美濃紙	みのがみ
MISSING_CANDIDATE	為	し	49
	T	し	為たい放題	したいほうだい
	T	し	為てやる	してやる
	T	し	為て遣る	してやる
	T	し	為付ける	しつける
	T	し	為兼ねる	しかねる
MISSING_CANDIDATE	為	せ	4
	T	せ	為ん方	せんかた
	T	せ	為ん方ない	せんかたない
	T	せ	為ん方無い	せんかたない
	T	せ	為ん術	せんすべ
MISSING_CANDIDATE	焦	こげ	3
	T	こげ	焦臭い	こげくさい
	T	こげ	焦茶	こげちゃ
	T	こげ	焦茶色	こげちゃいろ
MISSING_CANDIDATE	煎	いり	6
	T	いり	煎湯	いりゆ
	T	いり	煎米	いりごめ
	T	いり	煎胡麻	いりごま
	T	いり	煎豆腐	いりどうふ
	T	いり	煎鍋	いりなべ
MISSING_CANDIDATE	煙	けぶ	5
	T	けぶ	煙	けぶ
	T	けぶ	煙い	けぶい
	T	けぶ	煙がる	けぶがる
	T	けぶ	煙たい	けぶたい
	T	けぶ	煙る	けぶる
MISSING_CANDIDATE	煙	けぶり	3
	T	けぶり	橋場の煙	はしばのけぶり
	T	けぶり	煙	けぶり
	T	けぶり	空の煙	そらのけぶり
MISSING_CANDIDATE	煩	うる	5
	T	うる	口煩さい	くちうるさい
	T	うる	煩さい	うるさい
	T	うる	煩さがる	うるさがる
	T	うる	煩さ型	うるさがた
MISSING_CANDIDATE	牙	き	4
	T	き	グラップラー刃牙	ぐらっぷらーばき
	T	き	牙	き
	T	き	猪牙舟	ちょきぶね
	T	き	猪牙船	ちょきぶね
MISSING_CANDIDATE	狂	ちが	6
	T	ちが	気狂い	きちがい
	T	ちが	気狂いじみる	きちがいじみる
	T	ちが	気狂いに刃物	きちがいにはもの
	T	ちが	気狂い染みる	きちがいじみる
	T	ちが	気狂い水	きちがいみず
MISSING_CANDIDATE	狭	せ	6
	T	せ	ところ狭しと	ところせしと
	T	せ	所狭しと	ところせしと
	T	せ	狭	せ
	T	せ	狭し	せし
	T	せ	狭に	せに
MISSING_CANDIDATE	狭	はざ	3
	T	はざ	狭間	はざま
	T	はざ	狭間飛び	はざまとび
MISSING_CANDIDATE	猛	たけ	14
	T	たけ	威あって猛からず	いあってたけからず
	T	たけ	威ありて猛からず	いありてたけからず
	T	たけ	威有って猛からず	いあってたけからず
	T	たけ	威有て猛からず	いありてたけからず
	T	たけ	威有りて猛からず	いありてたけからず
MISSING_CANDIDATE	猛	みょう	4
	T	みょう	勇猛	ゆうみょう
	T	みょう	勇猛精進	ゆうみょうしょうじん
	T	みょう	猛火	みょうか
	T	みょう	雄猛	ゆうみょう
MISSING_CANDIDATE	猫	みょう	5
	T	みょう	土斑猫	つちはんみょう
	T	みょう	姫土斑猫	ひめつちはんみょう
	T	みょう	斑猫	はんみょう
	T	みょう	豆斑猫	まめはんみょう
	T	みょう	青斑猫	あおはんみょう
MISSING_CANDIDATE	獣	しし	4
	T	しし	獣	しし
	T	しし	獣狩	ししがり
	T	しし	獣狩り	ししがり
	T	しし	獣鍋	ししなべ
MISSING_CANDIDATE	獲	と	7
	T	と	獲って喰う	とってくう
	T	と	獲って食う	とってくう
	T	と	獲らぬタヌキの皮算用	とらぬたぬきのかわざんよう
	T	と	獲らぬ狸の皮算用	とらぬたぬきのかわざんよう
	T	と	獲る	とる
MISSING_CANDIDATE	珠	し	3
	T	し	大葉擬宝珠	おおばぎぼうし
	T	し	小葉擬宝珠	こばぎぼうし
	T	し	擬宝珠	ぎぼうし
MISSING_CANDIDATE	珠	ず	3
	T	ず	念珠	ねんず
	T	ず	数珠	ずず
	T	ず	珠数	ずず
MISSING_CANDIDATE	璧	ぺき	4
	T	ぺき	パー璧	ぱーぺき
	T	ぺき	完璧	かんぺき
	T	ぺき	完璧主義	かんぺきしゅぎ
	T	ぺき	完璧主義者	かんぺきしゅぎしゃ
MISSING_CANDIDATE	環	だまき	3
	T	だまき	苧環	おだまき
	T	だまき	苧環蒸	おだまきむし
	T	だまき	苧環蒸し	おだまきむし
MISSING_CANDIDATE	瓶	びょう	4
	T	びょう	宝瓶	ほうびょう
	T	びょう	水瓶	すいびょう
	T	びょう	花瓶	けびょう
	T	びょう	華瓶	けびょう
# T.shimizu つる+べとして登録対象を変更
MISSING_CANDIDATE	釣	つる	7
	T	るべ	撥ね釣瓶	はねつるべ
	T	るべ	秋の日は釣瓶落とし	あきのひはつるべおとし
	T	るべ	釣瓶	つるべ
	T	るべ	釣瓶うち	つるべうち
	T	るべ	釣瓶打ち	つるべうち
MISSING_CANDIDATE	甚	いた	5
	T	いた	甚い	いたい
	T	いた	甚く	いたく
	T	いた	甚振る	いたぶる
MISSING_CANDIDATE	甲	か	18
	T	か	甲斐	かい
	T	か	甲斐あって	かいあって
	T	か	甲斐がある	かいがある
	T	か	甲斐がない	かいがない
	T	か	甲斐が有る	かいがある
MISSING_CANDIDATE	甲	かっ	5
	T	かっ	甲冑	かっちゅう
	T	かっ	甲冑師	かっちゅうし
	T	かっ	甲冑魚	かっちゅうぎょ
	T	かっ	甲子	かっし
	T	かっ	甲胄	かっちゅう
MISSING_CANDIDATE	甲	かぶと	5
	T	かぶと	甲	かぶと
	T	かぶと	甲を脱ぐ	かぶとをぬぐ
	T	かぶと	甲虫	かぶとむし
	T	かぶと	甲蟹	かぶとがに
	T	かぶと	鳥甲	とりかぶと
MISSING_CANDIDATE	甲	が	25
	T	が	し甲斐	しがい
	T	が	やり甲斐	やりがい
	T	が	やり甲斐のある	やりがいのある
	T	が	不甲斐ない	ふがいない
	T	が	不甲斐無い	ふがいない
MISSING_CANDIDATE	畳	たとう	3
	T	たとう	畳	たとう
	T	たとう	畳紙	たとうがみ
	T	たとう	畳紙	たとうし
MISSING_CANDIDATE	畳	だたみ	7
	T	だたみ	上げ畳	あげだたみ
	T	だたみ	坊主畳	ぼうずだたみ
	T	だたみ	板畳	いただたみ
	T	だたみ	石畳	いしだたみ
	T	だたみ	石畳宿借	いしだたみやどかり
MISSING_CANDIDATE	疎	おろ	4
	T	おろ	疎	おろ
	T	おろ	疎か	おろか
	T	おろ	疎癒ゆ	おろいゆ
	T	おろ	疎覚え	おろおぼえ
MISSING_CANDIDATE	疎	おろそ	5
	T	おろそ	仇や疎か	あだやおろそか
	T	おろそ	徒や疎か	あだやおろそか
	T	おろそ	徒疎か	あだおろそか
	T	おろそ	疎か	おろそか
	T	おろそ	疎かにする	おろそかにする
MISSING_CANDIDATE	疾	と	10
	T	と	疾う	とう
	T	と	疾うから	とうから
	T	と	疾うに	とうに
	T	と	疾うの昔	とうのむかし
	T	と	疾く	とく
MISSING_CANDIDATE	痴	おこ	3
	T	おこ	痴	おこ
	T	おこ	痴がましい	おこがましい
	T	おこ	痴言	おこごと
MISSING_CANDIDATE	癖	ぺき	5
	T	ぺき	偏癖	へんぺき
	T	ぺき	潔癖	けっぺき
	T	ぺき	潔癖性	けっぺきしょう
	T	ぺき	潔癖症	けっぺきしょう
	T	ぺき	癇癖	かんぺき
MISSING_CANDIDATE	盗	ぬすっ	6
	T	ぬすっ	牛盗人	うしぬすっと
	T	ぬすっ	盗人	ぬすっと
	T	ぬすっ	盗人たけだけしい	ぬすっとたけだけしい
	T	ぬすっ	盗人に追い銭	ぬすっとにおいせん
	T	ぬすっ	盗人根性	ぬすっとこんじょう
MISSING_CANDIDATE	盤	はん	3
	T	はん	台盤	だいはん
	T	はん	盤陀	はんだ
	T	はん	真盤竜亜目	しんはんりゅうあもく
MISSING_CANDIDATE	眠	ねぶ	4
	T	ねぶ	眠たい	ねぶたい
	T	ねぶ	眠り	ねぶり
	T	ねぶ	眠り人	ねぶりびと
	T	ねぶ	眠る	ねぶる
MISSING_CANDIDATE	睡	ねぶ	3
	T	ねぶ	睡たい	ねぶたい
	T	ねぶ	睡り	ねぶり
	T	ねぶ	睡る	ねぶる
MISSING_CANDIDATE	砲	ぽう	31
	T	ぽう	ひじ鉄砲	ひじてっぽう
	T	ぽう	下手な鉄砲も数打てば当たる	へたなてっぽうもかずうてばあたる
	T	ぽう	下手な鉄砲も数撃ちゃ当たる	へたなてっぽうもかずうちゃあたる
	T	ぽう	下手な鉄砲も数撃てば当たる	へたなてっぽうもかずうてばあたる
	T	ぽう	山砲	さんぽう
MISSING_CANDIDATE	硝	がら	28
	T	がら	クラウン硝子	くらうんがらす
	T	がら	フリント硝子	ふりんとがらす
	T	がら	天然硝子	てんねんがらす
	T	がら	摺り硝子	すりがらす
	T	がら	摺硝子	すりがらす
